target_parameter_path,parameter_group,current_design_binding_state,current_serialized_paths,current_crosswalk_cardinality,current_binding_basis,crosswalk_scope
target.runtime.correctness_rule,"Runtime task, response, and hardware",not_in_current_design_serializer,,0,no conservative binding to the current StimulusDesign parser/serializer was established,current StimulusDesign design_from_dict/design_to_dict contract only
target.runtime.audio_device_driver_route,"Runtime task, response, and hardware",not_in_current_design_serializer,,0,no conservative binding to the current StimulusDesign parser/serializer was established,current StimulusDesign design_from_dict/design_to_dict contract only
target.runtime.output_channel_mapping,"Runtime task, response, and hardware",not_in_current_design_serializer,,0,no conservative binding to the current StimulusDesign parser/serializer was established,current StimulusDesign design_from_dict/design_to_dict contract only
target.runtime.playback_output_12_percent,"Runtime task, response, and hardware",not_in_current_design_serializer,,0,no conservative binding to the current StimulusDesign parser/serializer was established,current StimulusDesign design_from_dict/design_to_dict contract only
target.runtime.playback_output_34_percent,"Runtime task, response, and hardware",not_in_current_design_serializer,,0,no conservative binding to the current StimulusDesign parser/serializer was established,current StimulusDesign design_from_dict/design_to_dict contract only
target.analysis.primary_outcome,Analysis policy and PPS visualization,not_in_current_design_serializer,,0,no conservative binding to the current StimulusDesign parser/serializer was established,current StimulusDesign design_from_dict/design_to_dict contract only
target.analysis.primary_analysis_inclusion_rule,Analysis policy and PPS visualization,not_in_current_design_serializer,,0,no conservative binding to the current StimulusDesign parser/serializer was established,current StimulusDesign design_from_dict/design_to_dict contract only
target.analysis.topup_analysis_handling,Analysis policy and PPS visualization,not_in_current_design_serializer,,0,no conservative binding to the current StimulusDesign parser/serializer was established,current StimulusDesign design_from_dict/design_to_dict contract only
target.analysis.aggregation_mode,Analysis policy and PPS visualization,not_in_current_design_serializer,,0,no conservative binding to the current StimulusDesign parser/serializer was established,current StimulusDesign design_from_dict/design_to_dict contract only
target.analysis.grouping_factors,Analysis policy and PPS visualization,not_in_current_design_serializer,,0,no conservative binding to the current StimulusDesign parser/serializer was established,current StimulusDesign design_from_dict/design_to_dict contract only
target.analysis.baseline_correction_method,Analysis policy and PPS visualization,not_in_current_design_serializer,,0,no conservative binding to the current StimulusDesign parser/serializer was established,current StimulusDesign design_from_dict/design_to_dict contract only
target.analysis.fit_metric_fallback,Analysis policy and PPS visualization,not_in_current_design_serializer,,0,no conservative binding to the current StimulusDesign parser/serializer was established,current StimulusDesign design_from_dict/design_to_dict contract only
target.analysis.candidate_models,Analysis policy and PPS visualization,not_in_current_design_serializer,,0,no conservative binding to the current StimulusDesign parser/serializer was established,current StimulusDesign design_from_dict/design_to_dict contract only
target.analysis.model_selection_criterion,Analysis policy and PPS visualization,not_in_current_design_serializer,,0,no conservative binding to the current StimulusDesign parser/serializer was established,current StimulusDesign design_from_dict/design_to_dict contract only
target.analysis.min_points_linear_log,Analysis policy and PPS visualization,not_in_current_design_serializer,,0,no conservative binding to the current StimulusDesign parser/serializer was established,current StimulusDesign design_from_dict/design_to_dict contract only
target.analysis.min_points_sigmoid,Analysis policy and PPS visualization,not_in_current_design_serializer,,0,no conservative binding to the current StimulusDesign parser/serializer was established,current StimulusDesign design_from_dict/design_to_dict contract only
target.analysis.sigmoid_boundary_definition,Analysis policy and PPS visualization,not_in_current_design_serializer,,0,no conservative binding to the current StimulusDesign parser/serializer was established,current StimulusDesign design_from_dict/design_to_dict contract only
target.analysis.analysis_outlier_rule,Analysis policy and PPS visualization,not_in_current_design_serializer,,0,no conservative binding to the current StimulusDesign parser/serializer was established,current StimulusDesign design_from_dict/design_to_dict contract only
target.analysis.alpha,Analysis policy and PPS visualization,not_in_current_design_serializer,,0,no conservative binding to the current StimulusDesign parser/serializer was established,current StimulusDesign design_from_dict/design_to_dict contract only
target.analysis.nuisance_terms,Analysis policy and PPS visualization,not_in_current_design_serializer,,0,no conservative binding to the current StimulusDesign parser/serializer was established,current StimulusDesign design_from_dict/design_to_dict contract only
target.analysis.proximity_coding,Analysis policy and PPS visualization,not_in_current_design_serializer,,0,no conservative binding to the current StimulusDesign parser/serializer was established,current StimulusDesign design_from_dict/design_to_dict contract only
target.analysis.quality_gate_criteria,Analysis policy and PPS visualization,not_in_current_design_serializer,,0,no conservative binding to the current StimulusDesign parser/serializer was established,current StimulusDesign design_from_dict/design_to_dict contract only
target.analysis.uncertainty_metric,Analysis policy and PPS visualization,not_in_current_design_serializer,,0,no conservative binding to the current StimulusDesign parser/serializer was established,current StimulusDesign design_from_dict/design_to_dict contract only
target.analysis.pps_visualization_forms,Analysis policy and PPS visualization,not_in_current_design_serializer,,0,no conservative binding to the current StimulusDesign parser/serializer was established,current StimulusDesign design_from_dict/design_to_dict contract only
